model,MAE,RMSE,DA
persistence,0.009505448238809075,0.014400875350898125,0.5238879736408567
linear_regression,0.006635990660861823,0.00995813825970512,0.5255354200988468
ridge,0.006630172338193125,0.009929409908999565,0.5057660626029654
