Model,MAE,MSE,best_train_MSE,best_val_MSE,best_test_MSE,DA
Baseline-LR,0.006653666244732405,0.00010006302919394764,0.00011415465524158884,0.00013749259637117132,0.00010006302919394764,0.528052805280528
RNN,0.006879753902070164,0.00010447455133544281,0.00011807749578298898,0.00014242060805330008,0.00010447455133544281,0.4438943894389439
LSTM,0.0067112456379271705,0.0001031171195791103,0.00033229323211699863,0.00014439598838308026,0.0001031171195791103,0.5775577557755776
GRU,0.006585832819683558,0.00010072407894767821,0.00012722861571844255,0.00013916921124699943,0.00010072407894767821,0.5775577557755776
Transformer,0.007898651429654601,0.00014949739852454513,0.000684553236079273,0.0001574268002709574,0.00014949739852454513,0.46534653465346537
