model,run_id,timestamp,hyperparameters,hidden_size,d_model,nhead,num_layers,best_val_MSE,test_MSE,MAE,DA,best_epoch,notes,selection_reason
GRU,gru_experiment-20260328T035940Z,2026-03-28T03:59:45+00:00,"{""hidden"":128,""input_size"":8,""layers"":3}",128,,,3,3.9598673209642196e-05,1.5065309054647285e-05,0.002885489120328196,0.6070528967254408,4,model=GRU;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:128|layers:3|lr:0.001;selection=best_val_MSE;hidden=128;layers=3;lr=0.001;batch=128,selected_by=lowest_validation_MSE
LSTM,lstm_experiment-20260328T035724Z,2026-03-28T03:57:32+00:00,"{""hidden"":128,""input_size"":8,""layers"":3}",128,,,3,4.1108822775322035e-05,1.613398585480989e-05,0.003090407983321732,0.41183879093198994,1,model=LSTM;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:128|lr:0.0005;selection=best_val_MSE;hidden=128;layers=3;lr=0.0005;batch=64,selected_by=lowest_validation_MSE
RNN,rnn_experiment-20260328T040103Z,2026-03-28T04:01:16+00:00,"{""hidden"":128,""input_size"":8,""layers"":2}",128,,,2,4.77045203445499e-05,1.7106956758467318e-05,0.0031271537924265286,0.5201511335012594,17,model=RNN;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:128|layers:2|lr:0.001;selection=best_val_MSE;hidden=128;layers=2;lr=0.001;batch=32,selected_by=lowest_validation_MSE
Transformer,transformer_experiment-20260328T040914Z,2026-03-28T04:10:40+00:00,"{""d_model"":32,""dropout"":0.1,""input_size"":8,""nhead"":8,""num_layers"":3}",,32,8,3,4.7347412052367215e-05,1.8214440292415583e-05,0.0030037538700158403,0.6057934508816121,61,model=Transformer;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=d_model:32|layers:3|lr:0.0005|nhead:8;selection=best_val_MSE;d_model=32;layers=3;nhead=8;lr=0.0005;batch=32,selected_by=lowest_validation_MSE
