model,tuned_hyperparameters,best_train_MSE,best_val_MSE,best_test_MSE,MSE,MAE,DA,run_id,config_source
GRU,"{""batch_size"": 128, ""data_source"": ""spy"", ""hidden"": 128, ""horizon"": 1, ""layers"": 3, ""lr"": 0.001, ""target_mode"": ""next_mean_return"", ""target_smooth_window"": 5, ""task_id"": ""next_mean_return""}",2.1878411898728104e-05,4.09149399741783e-05,1.4938315871404484e-05,1.4938316903108969e-05,0.0029038905942946522,0.5604534005037783,best_tuned_gru_comparison-20260328T041144Z,tuning_winners.csv
LSTM,"{""batch_size"": 64, ""data_source"": ""spy"", ""hidden"": 128, ""horizon"": 1, ""layers"": 3, ""lr"": 0.0005, ""target_mode"": ""next_mean_return"", ""target_smooth_window"": 5, ""task_id"": ""next_mean_return""}",0.0005150249506551001,4.558097442176706e-05,2.3013823010842316e-05,2.3013823149598734e-05,0.003955892446169617,0.3853904282115869,best_tuned_lstm_comparison-20260328T041143Z,tuning_winners.csv
RNN,"{""batch_size"": 32, ""data_source"": ""spy"", ""hidden"": 128, ""horizon"": 1, ""layers"": 2, ""lr"": 0.001, ""target_mode"": ""next_mean_return"", ""target_smooth_window"": 5, ""task_id"": ""next_mean_return""}",2.6862825632698143e-05,5.041901402585571e-05,1.6501981008332223e-05,1.650198135361029e-05,0.0029924043667435085,0.5390428211586902,best_tuned_rnn_comparison-20260328T041145Z,tuning_winners.csv
Baseline-LR,"{""flattened_sequence"": true, ""model"": ""LinearRegression""}",1.7463835264475873e-05,5.493427609996429e-05,1.8860735142706823e-05,1.8860735142706823e-05,0.0032725286786197605,0.5062972292191436,best_tuned_lstm_comparison-20260328T041143Z-baseline-lr,tuning_winners.csv
Transformer,"{""batch_size"": 32, ""d_model"": 32, ""data_source"": ""spy"", ""horizon"": 1, ""lr"": 0.0005, ""nhead"": 8, ""num_layers"": 3, ""target_mode"": ""next_mean_return"", ""target_smooth_window"": 5, ""task_id"": ""next_mean_return""}",0.00013609452549662813,7.951425791749579e-05,3.485443812678568e-05,3.485444065491671e-05,0.004860837062221131,0.38413098236775817,best_tuned_transformer_comparison-20260328T041146Z,tuning_winners.csv
