model,tuned_hyperparameters,best_train_MSE,best_val_MSE,best_test_MSE,MSE,MAE,DA,run_id,config_source
LSTM,"{""batch_size"": 64, ""data_source"": ""spy"", ""hidden"": 32, ""horizon"": 1, ""layers"": 2, ""lr"": 0.0005, ""target_mode"": ""next_volatility"", ""target_smooth_window"": 5, ""task_id"": ""next_volatility""}",1.9763692146521596e-05,4.037484206404917e-05,2.2292839275905862e-05,2.2292842610289762e-05,0.0027570494046173163,1.0,best_tuned_lstm_comparison-20260330T121153Z,tuning_winners.csv
RNN,"{""batch_size"": 32, ""data_source"": ""spy"", ""hidden"": 64, ""horizon"": 1, ""layers"": 2, ""lr"": 0.001, ""target_mode"": ""next_volatility"", ""target_smooth_window"": 5, ""task_id"": ""next_volatility""}",1.657103732970124e-05,4.193815005896116e-05,2.2666456061415374e-05,2.2666455946969168e-05,0.0029187911285202587,1.0,best_tuned_rnn_comparison-20260330T121155Z,tuning_winners.csv
Baseline-LR,"{""flattened_sequence"": true, ""model"": ""LinearRegression""}",1.3149623132286978e-05,4.331356270684067e-05,1.8526507889821364e-05,1.8526507889821364e-05,0.0026709113715475117,0.9974811083123426,best_tuned_lstm_comparison-20260330T121153Z-baseline-lr,tuning_winners.csv
GRU,"{""batch_size"": 64, ""data_source"": ""spy"", ""hidden"": 64, ""horizon"": 1, ""layers"": 2, ""lr"": 0.001, ""target_mode"": ""next_volatility"", ""target_smooth_window"": 5, ""task_id"": ""next_volatility""}",1.278425554275951e-05,4.4224099201643274e-05,2.2269159671850502e-05,2.2269161611474437e-05,0.002828644340853357,0.9987405541561712,best_tuned_gru_comparison-20260330T121154Z,tuning_winners.csv
Transformer,"{""batch_size"": 32, ""d_model"": 32, ""data_source"": ""spy"", ""horizon"": 1, ""lr"": 0.0005, ""nhead"": 2, ""num_layers"": 1, ""target_mode"": ""next_volatility"", ""target_smooth_window"": 5, ""task_id"": ""next_volatility""}",5.2536108696244286e-05,5.40752284827094e-05,2.6333998903282918e-05,2.633399951272494e-05,0.0036282980627916094,0.9987405541561712,best_tuned_transformer_comparison-20260330T121156Z,tuning_winners.csv
