model,tuned_hyperparameters,best_train_MSE,best_val_MSE,best_test_MSE,MSE,MAE,DA,run_id,config_source
LSTM,"{""batch_size"": 32, ""data_source"": ""spy"", ""hidden"": 128, ""horizon"": 1, ""layers"": 3, ""lr"": 0.0005, ""target_mode"": ""next_return"", ""target_smooth_window"": 1, ""task_id"": ""next_return""}",0.00020063419092258492,0.00024216187244967038,9.014787792693824e-05,9.014787691000394e-05,0.0065182853644439424,0.5547169811320755,best_tuned_lstm_comparison-20260330T115620Z,tuning_winners.csv
GRU,"{""batch_size"": 64, ""data_source"": ""spy"", ""hidden"": 64, ""horizon"": 1, ""layers"": 3, ""lr"": 0.0001, ""target_mode"": ""next_return"", ""target_smooth_window"": 1, ""task_id"": ""next_return""}",0.00013577815296870633,0.0002457325491748774,9.264375694328919e-05,9.264376034834374e-05,0.006751110894188882,0.5031446540880503,best_tuned_gru_comparison-20260330T115621Z,tuning_winners.csv
Transformer,"{""batch_size"": 32, ""d_model"": 64, ""data_source"": ""spy"", ""horizon"": 1, ""lr"": 0.001, ""nhead"": 8, ""num_layers"": 2, ""target_mode"": ""next_return"", ""target_smooth_window"": 1, ""task_id"": ""next_return""}",0.00020124545028195846,0.00025174680676749906,9.834267984842882e-05,9.834267449317095e-05,0.006955591989996066,0.5094339622641509,best_tuned_transformer_comparison-20260330T115623Z,tuning_winners.csv
RNN,"{""batch_size"": 32, ""data_source"": ""spy"", ""hidden"": 32, ""horizon"": 1, ""layers"": 3, ""lr"": 0.0001, ""target_mode"": ""next_return"", ""target_smooth_window"": 1, ""task_id"": ""next_return""}",0.00012758390240136887,0.0002531677856549566,0.00010964111424982548,0.00010964110554136923,0.006968794617600934,0.5270440251572327,best_tuned_rnn_comparison-20260330T115622Z,tuning_winners.csv
Baseline-LR,"{""flattened_sequence"": true, ""model"": ""LinearRegression""}",0.00010620234241574032,0.00037273202194747934,0.00012183224713890307,0.00012183224713890307,0.007672862980771308,0.48930817610062893,best_tuned_lstm_comparison-20260330T115620Z-baseline-lr,tuning_winners.csv
