model,run_id,timestamp,hyperparameters,hidden_size,d_model,nhead,num_layers,best_val_MSE,test_MSE,MAE,DA,best_epoch,notes,selection_reason
GRU,gru_experiment-20260330T114345Z,2026-03-30T11:43:54+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,0.0002457341607367916,9.264301454859495e-05,0.006751221008995856,0.5018867924528302,18,model=GRU;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:64|lr:0.0001;selection=best_val_MSE;hidden=64;layers=3;lr=0.0001;batch=64,selected_by=lowest_validation_MSE
LSTM,lstm_experiment-20260330T114154Z,2026-03-30T11:42:09+00:00,"{""hidden"":128,""input_size"":8,""layers"":3,""random_seed"":42}",128,,,3,0.00024216308336903741,9.014771764363876e-05,0.0065182842150798646,0.5547169811320755,1,model=LSTM;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:128|layers:3|lr:0.0005;selection=best_val_MSE;hidden=128;layers=3;lr=0.0005;batch=32,selected_by=lowest_validation_MSE
RNN,rnn_experiment-20260330T114605Z,2026-03-30T11:46:22+00:00,"{""hidden"":32,""input_size"":8,""layers"":3,""random_seed"":42}",32,,,3,0.0002531676971659774,0.00010964066214694772,0.006968790366709406,0.5270440251572327,31,model=RNN;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:32|layers:3|lr:0.0001;selection=best_val_MSE;hidden=32;layers=3;lr=0.0001;batch=32,selected_by=lowest_validation_MSE
Transformer,transformer_experiment-20260330T115400Z,2026-03-30T11:55:12+00:00,"{""d_model"":64,""dropout"":0.1,""input_size"":8,""nhead"":8,""num_layers"":2,""random_seed"":42}",,64,8,2,0.00026005789502848764,0.00012340606859458702,0.007011411322782779,0.5283018867924528,73,model=Transformer;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=d_model:64|layers:2|lr:0.001|nhead:8;selection=best_val_MSE;d_model=64;layers=2;nhead=8;lr=0.001;batch=32,selected_by=lowest_validation_MSE
