Model,MAE,RMSE,DA,best_val_MSE
RNN,0.006702128813397478,0.009963105825280382,0.4843492586490939,0.00013816645952814243
LSTM,0.00648486785789135,0.009804448062113133,0.5453047775947282,0.00013465160309276467
GRU,0.006572202135547945,0.010019561496273144,0.5420098846787479,0.00013832534215516942
Transformer,0.008028915239629543,0.01861511771400082,0.5370675453047776,0.00017414490240366266
