model,run_id,timestamp,hyperparameters,hidden_size,d_model,nhead,num_layers,best_val_MSE,test_MSE,MAE,DA,best_epoch,notes,selection_reason
LSTM,lstm_experiment-20260327T211430Z,2026-03-27T21:14:38+00:00,"{""hidden"":64,""input_size"":8,""layers"":2}",64,,,2,0.00025246043744000905,9.730120243648982e-05,0.006933466670207795,0.5106918238993711,4,model=LSTM;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.001;batch=64,selected_by=lowest_validation_MSE
LSTM,lstm_experiment-20260327T211439Z,2026-03-27T21:14:47+00:00,"{""hidden"":64,""input_size"":8,""layers"":2}",64,,,2,0.000252495434055998,9.556239456955181e-05,0.006868096311294987,0.48930817610062893,1,model=LSTM;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.0005;batch=64,
