task_id,model,stage_index,stage_name,parameter_group,winning_value_json,best_val_MSE,frozen_config_json
next_volatility,lstm,1,LSTM lr sweep,lr,0.0005,4.3029153879578775e-05,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0005}"
next_volatility,lstm,2,LSTM hidden sweep,hidden,32,4.341120865644255e-05,"{""batch_size"": 64, ""hidden"": 32, ""layers"": 2, ""lr"": 0.0005}"
next_volatility,lstm,3,LSTM layers sweep,layers,3,4.5804568465463576e-05,"{""batch_size"": 64, ""hidden"": 32, ""layers"": 3, ""lr"": 0.0005}"
next_volatility,lstm,4,LSTM batch_size sweep,batch_size,32,4.433396609165632e-05,"{""batch_size"": 32, ""hidden"": 32, ""layers"": 3, ""lr"": 0.0005}"
next_volatility,gru,1,GRU lr sweep,lr,0.001,5.024322916879486e-05,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.001}"
next_volatility,gru,2,GRU hidden sweep,hidden,32,4.615013291872801e-05,"{""batch_size"": 64, ""hidden"": 32, ""layers"": 2, ""lr"": 0.001}"
next_volatility,gru,3,GRU layers sweep,layers,2,4.8749429774020304e-05,"{""batch_size"": 64, ""hidden"": 32, ""layers"": 2, ""lr"": 0.001}"
next_volatility,gru,4,GRU batch_size sweep,batch_size,64,4.239549915190943e-05,"{""batch_size"": 64, ""hidden"": 32, ""layers"": 2, ""lr"": 0.001}"
next_volatility,rnn,1,RNN lr sweep,lr,0.001,5.0875824044969986e-05,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.001}"
next_volatility,rnn,2,RNN hidden sweep,hidden,128,4.5882486028438164e-05,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 2, ""lr"": 0.001}"
next_volatility,rnn,3,RNN layers sweep,layers,3,4.44330853891147e-05,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 3, ""lr"": 0.001}"
next_volatility,rnn,4,RNN batch_size sweep,batch_size,128,4.5974947516927045e-05,"{""batch_size"": 128, ""hidden"": 128, ""layers"": 3, ""lr"": 0.001}"
next_volatility,transformer,1,Transformer lr sweep,lr,0.001,9.339322814194386e-05,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 2}"
next_volatility,transformer,2,Transformer d_model sweep,d_model,32,8.25362959492031e-05,"{""batch_size"": 64, ""d_model"": 32, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 2}"
next_volatility,transformer,3,Transformer num_layers sweep,num_layers,1,5.3745911844157325e-05,"{""batch_size"": 64, ""d_model"": 32, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 1}"
next_volatility,transformer,4,Transformer nhead sweep,nhead,8,6.090281358781553e-05,"{""batch_size"": 64, ""d_model"": 32, ""lr"": 0.001, ""nhead"": 8, ""num_layers"": 1}"
next_volatility,transformer,5,Transformer batch_size sweep,batch_size,32,6.426511393811684e-05,"{""batch_size"": 32, ""d_model"": 32, ""lr"": 0.001, ""nhead"": 8, ""num_layers"": 1}"
