model,run_id,timestamp,hyperparameters,hidden_size,d_model,nhead,num_layers,best_val_MSE,test_MSE,MAE,DA,best_epoch,notes,selection_reason
GRU,gru_experiment-20260331T125317Z,2026-03-31T12:53:21+00:00,"{""hidden"":64,""input_size"":8,""layers"":2,""random_seed"":42}",64,,,2,3.1472414367239426e-06,2.293540675916395e-06,0.0011898831934069832,0.9560439560439561,21,model=GRU;stage=seq_len_sweep;candidate_param=seq_len;candidates=20|30|60;fixed=batch:64|hidden:64|layers:2|lr:0.0001;selection=best_val_MSE;hidden=64;layers=2;lr=0.0001;batch=64;seq_len=60,selected_by=lowest_validation_MSE
LSTM,lstm_experiment-20260331T125144Z,2026-03-31T12:51:47+00:00,"{""hidden"":128,""input_size"":8,""layers"":2,""random_seed"":42}",128,,,2,1.4960479271523192e-06,1.1095353291538817e-07,0.00026171655527443554,0.986449864498645,4,model=LSTM;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.001|seq_len:30;selection=best_val_MSE;hidden=128;layers=2;lr=0.001;batch=64;seq_len=30,selected_by=lowest_validation_MSE
RNN,rnn_experiment-20260331T125408Z,2026-03-31T12:54:11+00:00,"{""hidden"":64,""input_size"":8,""layers"":2,""random_seed"":42}",64,,,2,1.7238560020220468e-06,1.601384000712894e-06,0.0009663634854295556,0.9486486486486486,24,model=RNN;stage=seq_len_sweep;candidate_param=seq_len;candidates=20|30|60;fixed=batch:128|hidden:64|layers:2|lr:0.001;selection=best_val_MSE;hidden=64;layers=2;lr=0.001;batch=128;seq_len=20,selected_by=lowest_validation_MSE
Transformer,transformer_experiment-20260331T125726Z,2026-03-31T12:58:00+00:00,"{""d_model"":64,""dropout"":0.1,""input_size"":8,""nhead"":4,""num_layers"":2,""random_seed"":42}",,64,4,2,1.199127045575641e-05,1.059185697538135e-05,0.002501032546058266,0.8888888888888888,77,model=Transformer;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=d_model:64|layers:2|lr:0.0001|nhead:4|seq_len:30;selection=best_val_MSE;d_model=64;layers=2;nhead=4;lr=0.0001;batch=32;seq_len=30,selected_by=lowest_validation_MSE
