model,tuned_hyperparameters,best_train_MSE,best_val_MSE,best_test_MSE,MSE,MAE,DA,run_id,config_source
Baseline-LR,"{""flattened_sequence"": true, ""model"": ""LinearRegression"", ""seq_len"": 30}",3.5837217038958094e-08,4.592560596418131e-08,4.807035774110167e-08,4.807035774110167e-08,0.00017405989604902047,0.9701897018970189,best_tuned_lstm_comparison-20260331T130042Z-baseline-lr,tuning_winners.csv
LSTM,"{""batch_size"": 64, ""data_source"": ""sine"", ""hidden"": 128, ""horizon"": 1, ""layers"": 2, ""lr"": 0.001, ""seq_len"": 30, ""target_mode"": ""sine_next_day"", ""target_smooth_window"": 1, ""task_id"": ""sine_next_day""}",2.1572965796020246e-07,1.4960479271523192e-06,1.1095353613654879e-07,1.1095353291538817e-07,0.00026171655527443554,0.986449864498645,best_tuned_lstm_comparison-20260331T130042Z,tuning_winners.csv
RNN,"{""batch_size"": 128, ""data_source"": ""sine"", ""hidden"": 64, ""horizon"": 1, ""layers"": 2, ""lr"": 0.001, ""seq_len"": 20, ""target_mode"": ""sine_next_day"", ""target_smooth_window"": 1, ""task_id"": ""sine_next_day""}",1.675418137772427e-06,1.7238560020220468e-06,1.6013840422601788e-06,1.601384000712894e-06,0.0009663634854295556,0.9486486486486486,best_tuned_rnn_comparison-20260331T130042Z,tuning_winners.csv
GRU,"{""batch_size"": 64, ""data_source"": ""sine"", ""hidden"": 64, ""horizon"": 1, ""layers"": 2, ""lr"": 0.0001, ""seq_len"": 60, ""target_mode"": ""sine_next_day"", ""target_smooth_window"": 1, ""task_id"": ""sine_next_day""}",2.362519041816952e-06,3.1472414367239426e-06,2.2935407741897507e-06,2.293540675916395e-06,0.0011898831934069832,0.9560439560439561,best_tuned_gru_comparison-20260331T130042Z,tuning_winners.csv
Transformer,"{""batch_size"": 32, ""d_model"": 64, ""data_source"": ""sine"", ""horizon"": 1, ""lr"": 0.0001, ""nhead"": 4, ""num_layers"": 2, ""seq_len"": 30, ""target_mode"": ""sine_next_day"", ""target_smooth_window"": 1, ""task_id"": ""sine_next_day""}",0.0005187548158870896,1.199127045575641e-05,1.059185615304159e-05,1.059185697538135e-05,0.002501032546058266,0.8888888888888888,best_tuned_transformer_comparison-20260331T130042Z,tuning_winners.csv
