task_id,model,stage_index,stage_name,parameter_group,candidate_index,note,best_val_MSE,selected,config_json
next_mean_return,lstm,1,LSTM lr sweep,lr,1,model=LSTM;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2|seq_len:30;selection=best_val_MSE;hidden=64;layers=2;lr=0.001;batch=64;seq_len=30,4.48322828726313e-05,True,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,lstm,1,LSTM lr sweep,lr,2,model=LSTM;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2|seq_len:30;selection=best_val_MSE;hidden=64;layers=2;lr=0.0005;batch=64;seq_len=30,4.561973543365056e-05,False,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0005, ""seq_len"": 30}"
next_mean_return,lstm,1,LSTM lr sweep,lr,3,model=LSTM;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2|seq_len:30;selection=best_val_MSE;hidden=64;layers=2;lr=0.0001;batch=64;seq_len=30,4.936100287409079e-05,False,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0001, ""seq_len"": 30}"
next_mean_return,lstm,2,LSTM hidden sweep,hidden,1,model=LSTM;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.001|seq_len:30;selection=best_val_MSE;hidden=32;layers=2;lr=0.001;batch=64;seq_len=30,4.831827105286944e-05,False,"{""batch_size"": 64, ""hidden"": 32, ""layers"": 2, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,lstm,2,LSTM hidden sweep,hidden,2,model=LSTM;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.001|seq_len:30;selection=best_val_MSE;hidden=64;layers=2;lr=0.001;batch=64;seq_len=30,4.4830596817022495e-05,True,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,lstm,2,LSTM hidden sweep,hidden,3,model=LSTM;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.001|seq_len:30;selection=best_val_MSE;hidden=128;layers=2;lr=0.001;batch=64;seq_len=30,4.528146986269548e-05,False,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 2, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,lstm,3,LSTM layers sweep,layers,1,model=LSTM;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:64|lr:0.001|seq_len:30;selection=best_val_MSE;hidden=64;layers=1;lr=0.001;batch=64;seq_len=30,5.601100226757517e-05,False,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 1, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,lstm,3,LSTM layers sweep,layers,2,model=LSTM;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:64|lr:0.001|seq_len:30;selection=best_val_MSE;hidden=64;layers=2;lr=0.001;batch=64;seq_len=30,4.483129641533331e-05,False,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,lstm,3,LSTM layers sweep,layers,3,model=LSTM;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:64|lr:0.001|seq_len:30;selection=best_val_MSE;hidden=64;layers=3;lr=0.001;batch=64;seq_len=30,4.14554544768455e-05,True,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 3, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,lstm,4,LSTM batch_size sweep,batch_size,1,model=LSTM;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:64|layers:3|lr:0.001|seq_len:30;selection=best_val_MSE;hidden=64;layers=3;lr=0.001;batch=32;seq_len=30,4.550930306693148e-05,False,"{""batch_size"": 32, ""hidden"": 64, ""layers"": 3, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,lstm,4,LSTM batch_size sweep,batch_size,2,model=LSTM;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:64|layers:3|lr:0.001|seq_len:30;selection=best_val_MSE;hidden=64;layers=3;lr=0.001;batch=64;seq_len=30,4.145689068711069e-05,False,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 3, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,lstm,4,LSTM batch_size sweep,batch_size,3,model=LSTM;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:64|layers:3|lr:0.001|seq_len:30;selection=best_val_MSE;hidden=64;layers=3;lr=0.001;batch=128;seq_len=30,3.9770317134649766e-05,True,"{""batch_size"": 128, ""hidden"": 64, ""layers"": 3, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,lstm,5,LSTM seq_len sweep,seq_len,1,model=LSTM;stage=seq_len_sweep;candidate_param=seq_len;candidates=20|30|60;fixed=batch:128|hidden:64|layers:3|lr:0.001;selection=best_val_MSE;hidden=64;layers=3;lr=0.001;batch=128;seq_len=20,4.052616978683841e-05,False,"{""batch_size"": 128, ""hidden"": 64, ""layers"": 3, ""lr"": 0.001, ""seq_len"": 20}"
next_mean_return,lstm,5,LSTM seq_len sweep,seq_len,2,model=LSTM;stage=seq_len_sweep;candidate_param=seq_len;candidates=20|30|60;fixed=batch:128|hidden:64|layers:3|lr:0.001;selection=best_val_MSE;hidden=64;layers=3;lr=0.001;batch=128;seq_len=30,3.977119019986431e-05,False,"{""batch_size"": 128, ""hidden"": 64, ""layers"": 3, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,lstm,5,LSTM seq_len sweep,seq_len,3,model=LSTM;stage=seq_len_sweep;candidate_param=seq_len;candidates=20|30|60;fixed=batch:128|hidden:64|layers:3|lr:0.001;selection=best_val_MSE;hidden=64;layers=3;lr=0.001;batch=128;seq_len=60,3.965827938586605e-05,True,"{""batch_size"": 128, ""hidden"": 64, ""layers"": 3, ""lr"": 0.001, ""seq_len"": 60}"
next_mean_return,gru,1,GRU lr sweep,lr,1,model=GRU;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2|seq_len:30;selection=best_val_MSE;hidden=64;layers=2;lr=0.001;batch=64;seq_len=30,5.5673994946030214e-05,True,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,gru,1,GRU lr sweep,lr,2,model=GRU;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2|seq_len:30;selection=best_val_MSE;hidden=64;layers=2;lr=0.0005;batch=64;seq_len=30,6.366457951745786e-05,False,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0005, ""seq_len"": 30}"
next_mean_return,gru,1,GRU lr sweep,lr,3,model=GRU;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2|seq_len:30;selection=best_val_MSE;hidden=64;layers=2;lr=0.0001;batch=64;seq_len=30,6.404634015326001e-05,False,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0001, ""seq_len"": 30}"
next_mean_return,gru,2,GRU hidden sweep,hidden,1,model=GRU;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.001|seq_len:30;selection=best_val_MSE;hidden=32;layers=2;lr=0.001;batch=64;seq_len=30,6.829236437973445e-05,False,"{""batch_size"": 64, ""hidden"": 32, ""layers"": 2, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,gru,2,GRU hidden sweep,hidden,2,model=GRU;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.001|seq_len:30;selection=best_val_MSE;hidden=64;layers=2;lr=0.001;batch=64;seq_len=30,5.567092112231371e-05,False,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,gru,2,GRU hidden sweep,hidden,3,model=GRU;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.001|seq_len:30;selection=best_val_MSE;hidden=128;layers=2;lr=0.001;batch=64;seq_len=30,5.21541567733616e-05,True,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 2, ""lr"": 0.001, ""seq_len"": 30}"
