model,run_id,timestamp,hyperparameters,hidden_size,d_model,nhead,num_layers,best_val_MSE,test_MSE,MAE,DA,best_epoch,notes,selection_reason
GRU,gru_experiment-20260331T195931Z,2026-03-31T19:59:38+00:00,"{""hidden"":32,""input_size"":8,""layers"":2,""random_seed"":42}",32,,,2,5.501691753528088e-05,2.2905598119037014e-05,0.0029124955076388283,0.9962264150943396,22,model=GRU;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.001|seq_len:30;selection=best_val_MSE;hidden=32;layers=2;lr=0.001;batch=64;seq_len=30,
GRU,gru_experiment-20260331T195916Z,2026-03-31T19:59:23+00:00,"{""hidden"":64,""input_size"":8,""layers"":2,""random_seed"":42}",64,,,2,5.5208407167609095e-05,2.460476456871711e-05,0.0029165313131003035,0.9836477987421384,4,model=GRU;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2|seq_len:30;selection=best_val_MSE;hidden=64;layers=2;lr=0.0005;batch=64;seq_len=30,
LSTM,lstm_experiment-20260331T195809Z,2026-03-31T19:58:23+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,3.8970537718582044e-05,1.9846111420663748e-05,0.0027023458670816583,1.0,1,model=LSTM;stage=seq_len_sweep;candidate_param=seq_len;candidates=20|30|60;fixed=batch:32|hidden:64|layers:3|lr:0.0001;selection=best_val_MSE;hidden=64;layers=3;lr=0.0001;batch=32;seq_len=20,selected_by=lowest_validation_MSE
LSTM,lstm_experiment-20260331T195854Z,2026-03-31T19:59:09+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,3.897082917559738e-05,1.984673443499403e-05,0.002702429555186419,1.0,1,Tuning final selected configuration for LSTM. Winner of staged parameter sweep (stage=seq_len).,
LSTM,lstm_experiment-20260331T195741Z,2026-03-31T19:57:55+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,3.9204313008075865e-05,2.012027873247885e-05,0.0027462332715148248,1.0,1,model=LSTM;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:64|layers:3|lr:0.0001|seq_len:30;selection=best_val_MSE;hidden=64;layers=3;lr=0.0001;batch=32;seq_len=30,
LSTM,lstm_experiment-20260331T195824Z,2026-03-31T19:58:38+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,3.9205063666925507e-05,2.012451387800465e-05,0.002746497437101157,1.0,1,model=LSTM;stage=seq_len_sweep;candidate_param=seq_len;candidates=20|30|60;fixed=batch:32|hidden:64|layers:3|lr:0.0001;selection=best_val_MSE;hidden=64;layers=3;lr=0.0001;batch=32;seq_len=30,
LSTM,lstm_experiment-20260331T195756Z,2026-03-31T19:58:03+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,4.025626233292423e-05,2.0118596083714987e-05,0.0026855677523739303,1.0,1,model=LSTM;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:64|layers:3|lr:0.0001|seq_len:30;selection=best_val_MSE;hidden=64;layers=3;lr=0.0001;batch=64;seq_len=30,
LSTM,lstm_experiment-20260331T195733Z,2026-03-31T19:57:40+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,4.0257140465541994e-05,2.0113094248156272e-05,0.0026852374863088327,1.0,1,model=LSTM;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:64|lr:0.0001|seq_len:30;selection=best_val_MSE;hidden=64;layers=3;lr=0.0001;batch=64;seq_len=30,
LSTM,lstm_experiment-20260331T195804Z,2026-03-31T19:58:08+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,4.0497969360435266e-05,2.0614692631153688e-05,0.0027311341173773995,1.0,1,model=LSTM;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:64|layers:3|lr:0.0001|seq_len:30;selection=best_val_MSE;hidden=64;layers=3;lr=0.0001;batch=128;seq_len=30,
LSTM,lstm_experiment-20260331T195839Z,2026-03-31T19:58:53+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,4.196200601417249e-05,2.166022377718135e-05,0.0028054920197112063,1.0,1,model=LSTM;stage=seq_len_sweep;candidate_param=seq_len;candidates=20|30|60;fixed=batch:32|hidden:64|layers:3|lr:0.0001;selection=best_val_MSE;hidden=64;layers=3;lr=0.0001;batch=32;seq_len=60,
