task_id,model,stage_index,stage_name,parameter_group,winning_value_json,best_val_MSE,frozen_config_json
next_mean_return,lstm,1,LSTM lr sweep,lr,0.001,4.483227849069424e-05,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,lstm,2,LSTM hidden sweep,hidden,64,4.483161782632623e-05,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,lstm,3,LSTM layers sweep,layers,3,4.145777179364997e-05,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 3, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,lstm,4,LSTM batch_size sweep,batch_size,128,3.977033751016012e-05,"{""batch_size"": 128, ""hidden"": 64, ""layers"": 3, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,lstm,5,LSTM seq_len sweep,seq_len,60,3.965859810132011e-05,"{""batch_size"": 128, ""hidden"": 64, ""layers"": 3, ""lr"": 0.001, ""seq_len"": 60}"
next_mean_return,gru,1,GRU lr sweep,lr,0.001,5.567686380733585e-05,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,gru,2,GRU hidden sweep,hidden,128,5.215711553204434e-05,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 2, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,gru,3,GRU layers sweep,layers,3,4.983919394227267e-05,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 3, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,gru,4,GRU batch_size sweep,batch_size,128,4.415643322974331e-05,"{""batch_size"": 128, ""hidden"": 128, ""layers"": 3, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,gru,5,GRU seq_len sweep,seq_len,30,4.415609884879778e-05,"{""batch_size"": 128, ""hidden"": 128, ""layers"": 3, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,rnn,1,RNN lr sweep,lr,0.0005,5.5316439834660206e-05,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0005, ""seq_len"": 30}"
next_mean_return,rnn,2,RNN hidden sweep,hidden,128,5.164428841760233e-05,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 2, ""lr"": 0.0005, ""seq_len"": 30}"
next_mean_return,rnn,3,RNN layers sweep,layers,3,5.155663867601554e-05,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 3, ""lr"": 0.0005, ""seq_len"": 30}"
next_mean_return,rnn,4,RNN batch_size sweep,batch_size,32,5.040429302183768e-05,"{""batch_size"": 32, ""hidden"": 128, ""layers"": 3, ""lr"": 0.0005, ""seq_len"": 30}"
next_mean_return,rnn,5,RNN seq_len sweep,seq_len,60,5.011392322554252e-05,"{""batch_size"": 32, ""hidden"": 128, ""layers"": 3, ""lr"": 0.0005, ""seq_len"": 60}"
next_mean_return,transformer,1,Transformer lr sweep,lr,0.001,0.00010966701068432786,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 2, ""seq_len"": 30}"
next_mean_return,transformer,2,Transformer d_model sweep,d_model,64,0.00011892926397233965,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 2, ""seq_len"": 30}"
next_mean_return,transformer,3,Transformer num_layers sweep,num_layers,1,8.1150689310133e-05,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 1, ""seq_len"": 30}"
next_mean_return,transformer,4,Transformer nhead sweep,nhead,8,7.921980776646461e-05,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.001, ""nhead"": 8, ""num_layers"": 1, ""seq_len"": 30}"
next_mean_return,transformer,5,Transformer batch_size sweep,batch_size,32,5.7327502054670164e-05,"{""batch_size"": 32, ""d_model"": 64, ""lr"": 0.001, ""nhead"": 8, ""num_layers"": 1, ""seq_len"": 30}"
next_mean_return,transformer,6,Transformer seq_len sweep,seq_len,30,6.121081018837606e-05,"{""batch_size"": 32, ""d_model"": 64, ""lr"": 0.001, ""nhead"": 8, ""num_layers"": 1, ""seq_len"": 30}"
next_mean_return,baseline_lr,1,Baseline-LR seq_len sweep,seq_len,20,5.120727823237702e-05,"{""batch_size"": 64, ""lr"": 0.001, ""seq_len"": 20}"
