model,run_id,timestamp,hyperparameters,hidden_size,d_model,nhead,num_layers,best_val_MSE,test_MSE,MAE,DA,best_epoch,notes,selection_reason
GRU,gru_experiment-20260330T113346Z,2026-03-30T11:33:50+00:00,"{""hidden"":64,""input_size"":8,""layers"":2,""random_seed"":42}",64,,,2,4.0928564812995916e-06,3.861689286044867e-06,0.0015096225245459106,0.9376693766937669,15,model=GRU;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.0001;batch=64,selected_by=lowest_validation_MSE
LSTM,lstm_experiment-20260330T113310Z,2026-03-30T11:33:13+00:00,"{""hidden"":128,""input_size"":8,""layers"":2,""random_seed"":42}",128,,,2,1.4960479271523192e-06,1.1095353291538817e-07,0.00026171655527443554,0.986449864498645,4,model=LSTM;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.001;selection=best_val_MSE;hidden=128;layers=2;lr=0.001;batch=64,selected_by=lowest_validation_MSE
RNN,rnn_experiment-20260330T113511Z,2026-03-30T11:35:13+00:00,"{""hidden"":64,""input_size"":8,""layers"":2,""random_seed"":42}",64,,,2,3.3442136591854983e-06,3.4784051409657845e-06,0.0014377314248091725,0.9295392953929539,13,model=RNN;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:64|layers:2|lr:0.001;selection=best_val_MSE;hidden=64;layers=2;lr=0.001;batch=128,selected_by=lowest_validation_MSE
Transformer,transformer_experiment-20260330T113831Z,2026-03-30T11:39:05+00:00,"{""d_model"":64,""dropout"":0.1,""input_size"":8,""nhead"":4,""num_layers"":2,""random_seed"":42}",,64,4,2,1.199127045575641e-05,1.059185697538135e-05,0.002501032546058266,0.8888888888888888,77,model=Transformer;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=d_model:64|layers:2|lr:0.0001|nhead:4;selection=best_val_MSE;d_model=64;layers=2;nhead=4;lr=0.0001;batch=32,selected_by=lowest_validation_MSE
