model,tuned_hyperparameters,best_train_MSE,best_val_MSE,best_test_MSE,MSE,MAE,DA,run_id,config_source
LSTM,"{""batch_size"": 32, ""data_source"": ""spy"", ""hidden"": 128, ""horizon"": 1, ""layers"": 3, ""lr"": 0.0005, ""seq_len"": 30, ""target_mode"": ""next_return"", ""target_smooth_window"": 1, ""task_id"": ""next_return""}",0.0001435194244049301,0.00024367532643536848,9.290054003940895e-05,9.290053750043805e-05,0.006650535659385083,0.5270440251572327,best_tuned_lstm_comparison-20260331T195507Z,tuning_winners.csv
GRU,"{""batch_size"": 64, ""data_source"": ""spy"", ""hidden"": 64, ""horizon"": 1, ""layers"": 3, ""lr"": 0.0001, ""seq_len"": 20, ""target_mode"": ""next_return"", ""target_smooth_window"": 1, ""task_id"": ""next_return""}",0.0001367375093180052,0.00024808409046118133,9.271679300582036e-05,9.271679186998966e-05,0.006688856537727117,0.5169385194479298,best_tuned_gru_comparison-20260331T195508Z,tuning_winners.csv
RNN,"{""batch_size"": 128, ""data_source"": ""spy"", ""hidden"": 128, ""horizon"": 1, ""layers"": 1, ""lr"": 0.001, ""seq_len"": 30, ""target_mode"": ""next_return"", ""target_smooth_window"": 1, ""task_id"": ""next_return""}",0.00012642446508564812,0.0002690171841721619,0.0001139396772487089,0.00011393968191126673,0.007150323007320028,0.4779874213836478,best_tuned_rnn_comparison-20260331T195508Z,tuning_winners.csv
Transformer,"{""batch_size"": 32, ""d_model"": 64, ""data_source"": ""spy"", ""horizon"": 1, ""lr"": 0.001, ""nhead"": 8, ""num_layers"": 1, ""seq_len"": 20, ""target_mode"": ""next_return"", ""target_smooth_window"": 1, ""task_id"": ""next_return""}",0.00010722664153255555,0.0003052344968063128,0.00012486110790632665,0.0001248611102114877,0.007316818106365624,0.4905897114178168,best_tuned_transformer_comparison-20260331T195509Z,tuning_winners.csv
Baseline-LR,"{""flattened_sequence"": true, ""model"": ""LinearRegression"", ""seq_len"": 30}",0.00010621300088325031,0.0003725169560371034,0.00012259740951135815,0.00012259740951135815,0.007687991231903753,0.48930817610062893,best_tuned_lstm_comparison-20260331T195507Z-baseline-lr,tuning_winners.csv
