model,run_id,timestamp,hyperparameters,hidden_size,d_model,nhead,num_layers,best_val_MSE,test_MSE,MAE,DA,best_epoch,notes,selection_reason
GRU,gru_experiment-20260331T130619Z,2026-03-31T13:06:27+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,0.0002480791642443341,9.219562593373798e-05,0.006668608624747968,0.5150753768844221,16,model=GRU;stage=seq_len_sweep;candidate_param=seq_len;candidates=20|30|60;fixed=batch:64|hidden:64|layers:3|lr:0.0001;selection=best_val_MSE;hidden=64;layers=3;lr=0.0001;batch=64;seq_len=20,selected_by=lowest_validation_MSE
GRU,gru_experiment-20260331T130644Z,2026-03-31T13:06:52+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,0.0002480828613765241,9.21973937903243e-05,0.006668761139753722,0.5150753768844221,16,Tuning final selected configuration for GRU. Winner of staged parameter sweep (stage=seq_len).,
GRU,gru_experiment-20260331T130543Z,2026-03-31T13:05:50+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,0.00024885426266941965,9.51313669127761e-05,0.006848507157143782,0.4867924528301887,7,model=GRU;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:64|lr:0.0001|seq_len:30;selection=best_val_MSE;hidden=64;layers=3;lr=0.0001;batch=64;seq_len=30,
GRU,gru_experiment-20260331T130606Z,2026-03-31T13:06:13+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,0.00024885698006678835,9.513176306348117e-05,0.006848456857632457,0.4880503144654088,7,model=GRU;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:64|layers:3|lr:0.0001|seq_len:30;selection=best_val_MSE;hidden=64;layers=3;lr=0.0001;batch=64;seq_len=30,
GRU,gru_experiment-20260331T130628Z,2026-03-31T13:06:35+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,0.00024885838097153207,9.513292377959151e-05,0.0068484566277533234,0.4867924528301887,7,model=GRU;stage=seq_len_sweep;candidate_param=seq_len;candidates=20|30|60;fixed=batch:64|hidden:64|layers:3|lr:0.0001;selection=best_val_MSE;hidden=64;layers=3;lr=0.0001;batch=64;seq_len=30,
GRU,gru_experiment-20260331T130636Z,2026-03-31T13:06:44+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,0.0002523677761948392,9.430598653940265e-05,0.006755823134185266,0.5139240506329114,6,model=GRU;stage=seq_len_sweep;candidate_param=seq_len;candidates=20|30|60;fixed=batch:64|hidden:64|layers:3|lr:0.0001;selection=best_val_MSE;hidden=64;layers=3;lr=0.0001;batch=64;seq_len=60,
GRU,gru_experiment-20260331T130614Z,2026-03-31T13:06:19+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,0.0002531374574206028,9.851300143394374e-05,0.007073156095992597,0.49433962264150944,7,model=GRU;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:64|layers:3|lr:0.0001|seq_len:30;selection=best_val_MSE;hidden=64;layers=3;lr=0.0001;batch=128;seq_len=30,
GRU,gru_experiment-20260331T130551Z,2026-03-31T13:06:05+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,0.0002545957096442829,9.41425588704453e-05,0.006755971656748083,0.5081761006289308,4,model=GRU;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:64|layers:3|lr:0.0001|seq_len:30;selection=best_val_MSE;hidden=64;layers=3;lr=0.0001;batch=32;seq_len=30,
GRU,gru_experiment-20260331T130526Z,2026-03-31T13:05:35+00:00,"{""hidden"":64,""input_size"":8,""layers"":1,""random_seed"":42}",64,,,1,0.0002567230499690217,0.00010039635422565431,0.006920263246399758,0.49559748427672956,37,model=GRU;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:64|lr:0.0001|seq_len:30;selection=best_val_MSE;hidden=64;layers=1;lr=0.0001;batch=64;seq_len=30,
GRU,gru_experiment-20260331T130446Z,2026-03-31T13:04:54+00:00,"{""hidden"":64,""input_size"":8,""layers"":2,""random_seed"":42}",64,,,2,0.00025971493611735955,8.956873130761297e-05,0.0066811560712772685,0.5119496855345912,17,model=GRU;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2|seq_len:30;selection=best_val_MSE;hidden=64;layers=2;lr=0.0001;batch=64;seq_len=30,
