model,tuned_hyperparameters,best_train_MSE,best_val_MSE,best_test_MSE,MSE,MAE,DA,run_id,config_source
LSTM,"{""batch_size"": 32, ""data_source"": ""spy"", ""hidden"": 128, ""horizon"": 1, ""layers"": 3, ""lr"": 0.0005, ""seq_len"": 30, ""target_mode"": ""next_return"", ""target_smooth_window"": 1, ""task_id"": ""next_return""}",0.0001435192285923164,0.00024397663164999533,9.197905455948785e-05,9.19790580887086e-05,0.00661829171803929,0.5270440251572327,best_tuned_lstm_comparison-20260331T132130Z,tuning_winners.csv
GRU,"{""batch_size"": 64, ""data_source"": ""spy"", ""hidden"": 64, ""horizon"": 1, ""layers"": 3, ""lr"": 0.0001, ""seq_len"": 20, ""target_mode"": ""next_return"", ""target_smooth_window"": 1, ""task_id"": ""next_return""}",0.00013673488276003026,0.0002480834319214268,9.2194379249122e-05,9.219438021335275e-05,0.006668725653377113,0.5150753768844221,best_tuned_gru_comparison-20260331T132131Z,tuning_winners.csv
RNN,"{""batch_size"": 128, ""data_source"": ""spy"", ""hidden"": 128, ""horizon"": 1, ""layers"": 1, ""lr"": 0.001, ""seq_len"": 30, ""target_mode"": ""next_return"", ""target_smooth_window"": 1, ""task_id"": ""next_return""}",0.00012642509752838004,0.00026933540819708404,0.0001126700226450339,0.00011267002624329476,0.007116724006450838,0.4779874213836478,best_tuned_rnn_comparison-20260331T132131Z,tuning_winners.csv
Transformer,"{""batch_size"": 32, ""d_model"": 64, ""data_source"": ""spy"", ""horizon"": 1, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 2, ""seq_len"": 30, ""target_mode"": ""next_return"", ""target_smooth_window"": 1, ""task_id"": ""next_return""}",0.00030357704438016515,0.0002817793239386926,0.000122205849038437,0.00012220585807579844,0.008317824864683208,0.4641509433962264,best_tuned_transformer_comparison-20260331T132132Z,tuning_winners.csv
Baseline-LR,"{""flattened_sequence"": true, ""model"": ""LinearRegression"", ""seq_len"": 30}",0.00010621301608499345,0.0003728073033376794,0.00012175933531496958,0.00012175933531496958,0.007667290610136108,0.48930817610062893,best_tuned_lstm_comparison-20260331T132130Z-baseline-lr,tuning_winners.csv
