task_id,target_mode,horizon,target_smooth_window,best_model_by_test_mse,best_test_mse,best_val_mse,best_train_mse
sine_next_day,sine_next_day,1,1,Baseline-LR,4.807035774110167e-08,4.592560596418131e-08,3.5837217038958094e-08
next_return,next_return,1,1,GRU,9.271679300582036e-05,0.00024808409046118133,0.0001367375093180052
next_volatility,next_volatility,1,5,Baseline-LR,1.7797153613510756e-05,4.1327857079415136e-05,1.3972208726007975e-05
next_mean_return,next_mean_return,1,5,GRU,1.5496840205742046e-05,4.415657048354232e-05,2.215340458323197e-05
