model,tuned_hyperparameters,best_train_MSE,best_val_MSE,best_test_MSE,MSE,MAE,DA,run_id,config_source
RNN,"{""batch_size"": 32, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0005}",0.00012667149759941688,0.00025901654160287625,9.9158838565927e-05,9.915883850144716e-05,0.006949475725585768,0.5220125786163522,best_tuned_rnn_comparison-20260327T141401Z,tuning_winners.csv
GRU,"{""batch_size"": 32, ""hidden"": 64, ""layers"": 2, ""lr"": 0.001}",0.00012672880880892193,0.0002592928867578955,9.773573401616886e-05,9.773573606390025e-05,0.006911346593021351,0.5044025157232704,best_tuned_gru_comparison-20260327T141400Z,tuning_winners.csv
LSTM,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 1, ""lr"": 0.001}",0.0001530914279389885,0.0002644110184547285,9.855897951638326e-05,9.855897657234262e-05,0.006878868678138376,0.5119496855345912,best_tuned_lstm_comparison-20260327T141400Z,tuning_winners.csv
Transformer,"{""batch_size"": 32, ""d_model"": 32, ""lr"": 0.0005, ""nhead"": 2, ""num_layers"": 1}",0.00010998787526363109,0.00028710435327067996,0.00011895017814822495,0.00011895018495166742,0.007219530008211559,0.49433962264150944,best_tuned_transformer_comparison-20260327T141401Z,tuning_winners.csv
Baseline-LR,"{""flattened_sequence"": true, ""model"": ""LinearRegression""}",0.0001062023696032856,0.00037273195382791287,0.00012164122911112648,0.00012164122911112648,0.007662594471180795,0.48930817610062893,best_tuned_lstm_comparison-20260327T141400Z-baseline-lr,tuning_winners.csv
