task_id,model,stage_index,stage_name,parameter_group,winning_value_json,best_val_MSE,frozen_config_json
next_mean_return,lstm,1,LSTM lr sweep,lr,0.001,4.5994434412340044e-05,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.001}"
next_mean_return,lstm,2,LSTM hidden sweep,hidden,128,4.0735460162041815e-05,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 2, ""lr"": 0.001}"
next_mean_return,lstm,3,LSTM layers sweep,layers,2,4.07366567107044e-05,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 2, ""lr"": 0.001}"
next_mean_return,lstm,4,LSTM batch_size sweep,batch_size,64,4.073533890907982e-05,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 2, ""lr"": 0.001}"
next_mean_return,gru,1,GRU lr sweep,lr,0.0005,5.597792436350926e-05,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0005}"
next_mean_return,gru,2,GRU hidden sweep,hidden,128,5.5028932531831684e-05,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 2, ""lr"": 0.0005}"
next_mean_return,gru,3,GRU layers sweep,layers,3,4.956167235757705e-05,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 3, ""lr"": 0.0005}"
next_mean_return,gru,4,GRU batch_size sweep,batch_size,32,4.693860414974957e-05,"{""batch_size"": 32, ""hidden"": 128, ""layers"": 3, ""lr"": 0.0005}"
next_mean_return,rnn,1,RNN lr sweep,lr,0.001,5.369113615289922e-05,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.001}"
next_mean_return,rnn,2,RNN hidden sweep,hidden,128,5.1098359191778525e-05,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 2, ""lr"": 0.001}"
next_mean_return,rnn,3,RNN layers sweep,layers,3,4.506350962448125e-05,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 3, ""lr"": 0.001}"
next_mean_return,rnn,4,RNN batch_size sweep,batch_size,64,4.5062632699553166e-05,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 3, ""lr"": 0.001}"
next_mean_return,transformer,1,Transformer lr sweep,lr,0.0005,0.00012077088786616028,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2}"
next_mean_return,transformer,2,Transformer d_model sweep,d_model,64,0.00010838617625676242,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2}"
next_mean_return,transformer,3,Transformer num_layers sweep,num_layers,3,9.411777797616878e-05,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 3}"
next_mean_return,transformer,4,Transformer nhead sweep,nhead,4,9.424284488871095e-05,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 3}"
next_mean_return,transformer,5,Transformer batch_size sweep,batch_size,32,4.7761930860691804e-05,"{""batch_size"": 32, ""d_model"": 64, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 3}"
