model,tuned_hyperparameters,best_train_MSE,best_val_MSE,best_test_MSE,MSE,MAE,DA,run_id,config_source
Baseline-LR,"{""flattened_sequence"": true, ""model"": ""LinearRegression""}",3.5837217038958094e-08,4.592560596418131e-08,4.807035774110167e-08,4.807035774110167e-08,0.00017405989604902047,0.9701897018970189,best_tuned_lstm_comparison-20260327T211351Z-baseline-lr,tuning_winners.csv
LSTM,"{""batch_size"": 64, ""data_source"": ""sine"", ""hidden"": 128, ""horizon"": 1, ""layers"": 2, ""lr"": 0.0001, ""target_mode"": ""sine_next_day"", ""target_smooth_window"": 1, ""task_id"": ""sine_next_day""}",4.1942054820474397e-07,8.260481810379179e-07,4.084714078089746e-07,4.0847137126830785e-07,0.0005087915352194863,0.978319783197832,best_tuned_lstm_comparison-20260327T211351Z,tuning_winners.csv
GRU,"{""batch_size"": 32, ""data_source"": ""sine"", ""hidden"": 128, ""horizon"": 1, ""layers"": 3, ""lr"": 0.0005, ""target_mode"": ""sine_next_day"", ""target_smooth_window"": 1, ""task_id"": ""sine_next_day""}",0.00018150892522090562,5.2210392481336564e-06,5.026585768064251e-06,5.0265862872750005e-06,0.0019147617824990261,0.9295392953929539,best_tuned_gru_comparison-20260327T211351Z,tuning_winners.csv
RNN,"{""batch_size"": 64, ""data_source"": ""sine"", ""hidden"": 32, ""horizon"": 1, ""layers"": 3, ""lr"": 0.001, ""target_mode"": ""sine_next_day"", ""target_smooth_window"": 1, ""task_id"": ""sine_next_day""}",7.289246804203174e-06,8.548594871038278e-06,5.361073817766737e-06,5.361073995736837e-06,0.001814029638219117,0.9295392953929539,best_tuned_rnn_comparison-20260327T211351Z,tuning_winners.csv
Transformer,"{""batch_size"": 64, ""d_model"": 64, ""data_source"": ""sine"", ""horizon"": 1, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 1, ""target_mode"": ""sine_next_day"", ""target_smooth_window"": 1, ""task_id"": ""sine_next_day""}",0.00022835444624884647,1.0260271153841888e-05,1.0966341505991295e-05,1.096634165444384e-05,0.00265588938981826,0.8644986449864499,best_tuned_transformer_comparison-20260327T211351Z,tuning_winners.csv
