model,tuned_hyperparameters,best_train_MSE,best_val_MSE,best_test_MSE,MSE,MAE,DA,run_id,config_source
LSTM,"{""batch_size"": 32, ""data_source"": ""spy"", ""hidden"": 32, ""horizon"": 1, ""layers"": 3, ""lr"": 0.001, ""target_mode"": ""next_return"", ""target_smooth_window"": 1, ""task_id"": ""next_return""}",0.00039472030383332573,0.0002447269715594532,9.203857916872948e-05,9.203858206748009e-05,0.006588046858200838,0.5345911949685535,best_tuned_lstm_comparison-20260328T034106Z,tuning_winners.csv
GRU,"{""batch_size"": 64, ""data_source"": ""spy"", ""hidden"": 128, ""horizon"": 1, ""layers"": 3, ""lr"": 0.001, ""target_mode"": ""next_return"", ""target_smooth_window"": 1, ""task_id"": ""next_return""}",0.000599381746920683,0.00025061396445380524,9.31888644117862e-05,9.318885448909317e-05,0.006742425479753511,0.47924528301886793,best_tuned_gru_comparison-20260328T034107Z,tuning_winners.csv
RNN,"{""batch_size"": 64, ""data_source"": ""spy"", ""hidden"": 128, ""horizon"": 1, ""layers"": 3, ""lr"": 0.0005, ""target_mode"": ""next_return"", ""target_smooth_window"": 1, ""task_id"": ""next_return""}",0.0023511752317483298,0.00027117865701960014,0.00010760279837995768,0.00010760280413049123,0.007438386082025807,0.5006289308176101,best_tuned_rnn_comparison-20260328T034108Z,tuning_winners.csv
Transformer,"{""batch_size"": 128, ""d_model"": 32, ""data_source"": ""spy"", ""horizon"": 1, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 1, ""target_mode"": ""next_return"", ""target_smooth_window"": 1, ""task_id"": ""next_return""}",0.0003041436318177368,0.0003123269207471856,0.0001668732875259593,0.00016687327879177143,0.007900764137559987,0.48930817610062893,best_tuned_transformer_comparison-20260328T034109Z,tuning_winners.csv
Baseline-LR,"{""flattened_sequence"": true, ""model"": ""LinearRegression""}",0.0001062022249019563,0.00037273244997854024,0.00012183224447839086,0.00012183224447839086,0.007672863969686792,0.48930817610062893,best_tuned_lstm_comparison-20260328T034106Z-baseline-lr,tuning_winners.csv
