model,run_id,timestamp,hyperparameters,hidden_size,d_model,nhead,num_layers,best_val_MSE,test_MSE,MAE,DA,best_epoch,notes,selection_reason
GRU,gru_experiment-20260328T033126Z,2026-03-28T03:31:33+00:00,"{""hidden"":128,""input_size"":8,""layers"":3}",128,,,3,0.0002465579258272385,9.088012768445739e-05,0.006597240772989043,0.5207547169811321,13,model=GRU;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:128|layers:3|lr:0.001;selection=best_val_MSE;hidden=128;layers=3;lr=0.001;batch=64,selected_by=lowest_validation_MSE
LSTM,lstm_experiment-20260328T032827Z,2026-03-28T03:28:35+00:00,"{""hidden"":32,""input_size"":8,""layers"":2}",32,,,2,0.00024018395569247613,9.0909807329271e-05,0.006652142993603524,0.4767295597484277,7,model=LSTM;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.001;selection=best_val_MSE;hidden=32;layers=2;lr=0.001;batch=64,selected_by=lowest_validation_MSE
RNN,rnn_experiment-20260328T033148Z,2026-03-28T03:31:55+00:00,"{""hidden"":64,""input_size"":8,""layers"":2}",64,,,2,0.00027184573359516465,0.00011363245040938318,0.00751132462110158,0.5534591194968553,19,model=RNN;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.0005;batch=64,selected_by=lowest_validation_MSE
Transformer,transformer_experiment-20260328T033856Z,2026-03-28T03:39:20+00:00,"{""d_model"":32,""dropout"":0.1,""input_size"":8,""nhead"":4,""num_layers"":1}",,32,4,1,0.0002799705162576074,0.00011715169729068886,0.007491687878798439,0.5207547169811321,86,model=Transformer;stage=nhead_sweep;candidate_param=nhead;candidates=2|4|8;fixed=batch:64|d_model:32|layers:1|lr:0.0005;selection=best_val_MSE;d_model=32;layers=1;nhead=4;lr=0.0005;batch=64,selected_by=lowest_validation_MSE
