task_id,model,stage_index,stage_name,parameter_group,winning_value_json,best_val_MSE,frozen_config_json
next_return,lstm,1,LSTM lr sweep,lr,0.001,0.00025603736597445086,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.001}"
next_return,lstm,2,LSTM hidden sweep,hidden,32,0.00024018395569247613,"{""batch_size"": 64, ""hidden"": 32, ""layers"": 2, ""lr"": 0.001}"
next_return,lstm,3,LSTM layers sweep,layers,3,0.0002479339153125885,"{""batch_size"": 64, ""hidden"": 32, ""layers"": 3, ""lr"": 0.001}"
next_return,lstm,4,LSTM batch_size sweep,batch_size,32,0.00024095959144268328,"{""batch_size"": 32, ""hidden"": 32, ""layers"": 3, ""lr"": 0.001}"
next_return,gru,1,GRU lr sweep,lr,0.001,0.000267156344722857,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.001}"
next_return,gru,2,GRU hidden sweep,hidden,128,0.00026031164222441145,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 2, ""lr"": 0.001}"
next_return,gru,3,GRU layers sweep,layers,3,0.0002500182195224689,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 3, ""lr"": 0.001}"
next_return,gru,4,GRU batch_size sweep,batch_size,64,0.0002465579258272385,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 3, ""lr"": 0.001}"
next_return,rnn,1,RNN lr sweep,lr,0.0005,0.00027184573359516465,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0005}"
next_return,rnn,2,RNN hidden sweep,hidden,128,0.0002938028647147282,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 2, ""lr"": 0.0005}"
next_return,rnn,3,RNN layers sweep,layers,3,0.00028124569843900683,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 3, ""lr"": 0.0005}"
next_return,rnn,4,RNN batch_size sweep,batch_size,64,0.0002723090866116804,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 3, ""lr"": 0.0005}"
next_return,transformer,1,Transformer lr sweep,lr,0.0005,0.0003326479168080536,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2}"
next_return,transformer,2,Transformer d_model sweep,d_model,32,0.00028070910963966396,"{""batch_size"": 64, ""d_model"": 32, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2}"
next_return,transformer,3,Transformer num_layers sweep,num_layers,1,0.000341301182256667,"{""batch_size"": 64, ""d_model"": 32, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 1}"
next_return,transformer,4,Transformer nhead sweep,nhead,4,0.0002799705162576074,"{""batch_size"": 64, ""d_model"": 32, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 1}"
next_return,transformer,5,Transformer batch_size sweep,batch_size,128,0.00028115115367625216,"{""batch_size"": 128, ""d_model"": 32, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 1}"
